Polo,Nota/AC
recife,42
recife,43
recife,43
recife,46
recife,42
recife,43
recife,44
recife,42
recife,44
recife,51
recife,42
recife,43
recife,43
recife,47
recife,43
recife,45
recife,43
recife,48
recife,44
recife,45
recife,47
recife,43
recife,46
recife,43
recife,49
recife,47
recife,47
recife,48
recife,42
recife,45
recife,42
recife,42
recife,42
recife,44
recife,43
recife,45
recife,44
recife,50
recife,44
recife,47
recife,43
recife,42
recife,48
recife,45
recife,43
recife,42
recife,44
recife,45
recife,44
recife,49
recife,48
brasilia,39
brasilia,42
brasilia,39
brasilia,40
brasilia,42
brasilia,38
brasilia,38
brasilia,39
brasilia,40
brasilia,41
brasilia,41
brasilia,40
brasilia,40
brasilia,41
brasilia,38
brasilia,41
brasilia,42
brasilia,36
brasilia,37
brasilia,39
brasilia,37
brasilia,40
brasilia,42
brasilia,42
brasilia,36
brasilia,38
brasilia,41
brasilia,47
brasilia,37
brasilia,40
brasilia,39
brasilia,39
brasilia,42
brasilia,44
brasilia,44
brasilia,41
brasilia,39
brasilia,38
brasilia,38
brasilia,41
brasilia,36
brasilia,45
brasilia,40
brasilia,37
brasilia,44
brasilia,37
brasilia,37
brasilia,43
brasilia,40
brasilia,37
brasilia,37
brasilia,37
brasilia,37
brasilia,40
brasilia,41
brasilia,40
brasilia,38
brasilia,39
brasilia,38
brasilia,45
brasilia,38
brasilia,39
brasilia,47
brasilia,39
brasilia,39
brasilia,38
brasilia,37
brasilia,42
brasilia,41
brasilia,37
brasilia,37
brasilia,39
brasilia,38
brasilia,43
brasilia,41
brasilia,41
brasilia,37
brasilia,44
brasilia,39
brasilia,37
brasilia,37
brasilia,38
brasilia,40
brasilia,49
brasilia,41
brasilia,38
brasilia,38
brasilia,37
brasilia,39
brasilia,39
brasilia,37
brasilia,42
brasilia,37
brasilia,41
brasilia,38
brasilia,41
brasilia,43
brasilia,36
brasilia,42
brasilia,43
brasilia,41
brasilia,44
brasilia,42
brasilia,45
brasilia,48
brasilia,40
brasilia,42
brasilia,36
brasilia,42
brasilia,50
brasilia,37
brasilia,41
brasilia,41
brasilia,38
brasilia,39
brasilia,39
brasilia,37
brasilia,37
brasilia,46
brasilia,39
brasilia,41
brasilia,45
brasilia,48
brasilia,43
brasilia,44
brasilia,37
brasilia,41
brasilia,41
brasilia,41
brasilia,37
brasilia,39
brasilia,42
brasilia,43
brasilia,38
brasilia,37
brasilia,43
brasilia,40
brasilia,42
brasilia,41
brasilia,39
brasilia,44
brasilia,42
brasilia,41
brasilia,42
brasilia,42
brasilia,40
brasilia,40
brasilia,38
brasilia,43
brasilia,40
brasilia,37
brasilia,44
brasilia,44
brasilia,36
brasilia,38
brasilia,41
brasilia,38
brasilia,37
brasilia,37
brasilia,41
brasilia,39
brasilia,39
brasilia,37
brasilia,43
brasilia,37
brasilia,40
brasilia,38
brasilia,38
brasilia,37
brasilia,44
brasilia,38
brasilia,37
brasilia,38
brasilia,40
brasilia,36
brasilia,42
brasilia,40
brasilia,40
brasilia,42
brasilia,40
brasilia,36
brasilia,40
brasilia,40
brasilia,39
brasilia,40
brasilia,48
brasilia,40
brasilia,38
brasilia,43
brasilia,40
brasilia,39
brasilia,37
brasilia,43
brasilia,39
brasilia,37
brasilia,40
brasilia,36
brasilia,39
brasilia,51
brasilia,42
brasilia,47
brasilia,44
brasilia,39
brasilia,45
brasilia,38
brasilia,38
brasilia,40
brasilia,41
brasilia,42
brasilia,39
brasilia,38
brasilia,45
brasilia,43
brasilia,42
brasilia,39
brasilia,46
brasilia,37
brasilia,39
brasilia,42
brasilia,40
brasilia,39
brasilia,45
brasilia,40
brasilia,42
brasilia,37
brasilia,39
brasilia,43
brasilia,40
brasilia,38
brasilia,39
brasilia,42
brasilia,46
brasilia,40
brasilia,46
brasilia,43
brasilia,44
brasilia,42
brasilia,37
brasilia,42
brasilia,43
brasilia,40
brasilia,38
brasilia,37
brasilia,38
brasilia,41
brasilia,40
brasilia,47
brasilia,39
brasilia,37
brasilia,42
brasilia,37
brasilia,41
brasilia,40
brasilia,40
brasilia,37
brasilia,41
brasilia,39
brasilia,41
brasilia,40
brasilia,39
brasilia,43
brasilia,37
brasilia,42
brasilia,43
brasilia,44
brasilia,36
brasilia,42
brasilia,37
brasilia,40
brasilia,39
brasilia,39
brasilia,46
brasilia,40
brasilia,41
brasilia,42
brasilia,44
brasilia,47
brasilia,40
brasilia,44
brasilia,45
brasilia,37
brasilia,40
brasilia,41
brasilia,41
brasilia,40
brasilia,37
brasilia,38
brasilia,47
brasilia,38
brasilia,42
brasilia,41
brasilia,39
brasilia,40
brasilia,38
brasilia,39
brasilia,43
brasilia,43
brasilia,40
brasilia,40
brasilia,38
brasilia,37
brasilia,37
brasilia,40
brasilia,40
brasilia,38
brasilia,40
brasilia,37
brasilia,38
brasilia,38
brasilia,40
brasilia,46
brasilia,44
brasilia,42
brasilia,42
brasilia,50
brasilia,37
brasilia,44
brasilia,42
brasilia,46
brasilia,45
brasilia,38
brasilia,39
brasilia,41
brasilia,40
brasilia,42
brasilia,42
brasilia,42
brasilia,38
brasilia,38
brasilia,39
brasilia,37
brasilia,38
brasilia,40
brasilia,41
brasilia,39
brasilia,36
brasilia,47
brasilia,42
brasilia,50
brasilia,37
brasilia,38
brasilia,43
brasilia,37
brasilia,37
brasilia,36
brasilia,46
brasilia,38
brasilia,40
brasilia,41
brasilia,36
brasilia,42
brasilia,47
brasilia,41
brasilia,41
brasilia,42
brasilia,39
brasilia,40
brasilia,38
brasilia,47
brasilia,38
brasilia,44
brasilia,36
brasilia,41
brasilia,44
brasilia,38
brasilia,45
brasilia,41
brasilia,45
brasilia,40
brasilia,41
brasilia,45
brasilia,41
brasilia,38
brasilia,41
brasilia,39
brasilia,37
brasilia,44
brasilia,44
brasilia,46
brasilia,39
brasilia,40
brasilia,37
brasilia,40
brasilia,37
brasilia,42
brasilia,38
brasilia,43
brasilia,42
brasilia,36
brasilia,38
brasilia,41
brasilia,36
brasilia,41
brasilia,36
brasilia,45
brasilia,45
brasilia,46
brasilia,38
brasilia,40
brasilia,42
brasilia,44
brasilia,44
brasilia,40
brasilia,41
brasilia,38
brasilia,39
brasilia,41
brasilia,40
brasilia,46
brasilia,38
brasilia,44
brasilia,38
brasilia,46
brasilia,40
brasilia,43
brasilia,55
brasilia,40
brasilia,39
brasilia,46
brasilia,37
brasilia,36
brasilia,42
brasilia,37
brasilia,43
brasilia,36
brasilia,39
brasilia,43
brasilia,38
brasilia,38
brasilia,44
brasilia,43
brasilia,42
brasilia,38
brasilia,42
brasilia,47
brasilia,37
brasilia,38
brasilia,36
brasilia,42
brasilia,39
brasilia,39
brasilia,37
brasilia,39
brasilia,43
brasilia,39
brasilia,40
brasilia,42
brasilia,42
brasilia,37
brasilia,40
brasilia,48
brasilia,39
brasilia,39
brasilia,43
brasilia,44
brasilia,48
brasilia,44
brasilia,39
brasilia,47
brasilia,40
brasilia,41
brasilia,39
brasilia,41
brasilia,43
brasilia,43
brasilia,47
brasilia,38
brasilia,39
brasilia,43
brasilia,39
brasilia,38
brasilia,45
brasilia,40
brasilia,48
brasilia,41
brasilia,39
brasilia,38
brasilia,37
brasilia,41
brasilia,39
brasilia,36
brasilia,37
brasilia,39
brasilia,39
brasilia,38
brasilia,41
brasilia,40
brasilia,42
brasilia,38
